Student_ID,Sem1,Sem2,Sem3,Average_marks,Total_marks,Growth_Percentage
S1,66,97,55,72.66666666666667,218,-16.666666666666664
S2,53,70,63,62.0,186,18.867924528301888
S3,92,49,75,72.0,216,-18.478260869565215
S4,56,72,84,70.66666666666667,212,50.0
S5,57,58,98,71.0,213,71.9298245614035
S6,83,55,78,72.0,216,-6.024096385542169
S7,87,51,95,77.66666666666667,233,9.195402298850574
S8,45,93,95,77.66666666666667,233,111.11111111111111
S9,52,59,55,55.333333333333336,166,5.769230769230769
S10,89,93,67,83.0,249,-24.719101123595504
S11,54,80,66,66.66666666666667,200,22.22222222222222
S12,52,54,96,67.33333333333333,202,84.61538461538461
S13,83,82,97,87.33333333333333,262,16.867469879518072
S14,48,87,92,75.66666666666667,227,91.66666666666666
S15,47,97,60,68.0,204,27.659574468085108
S16,88,57,94,79.66666666666667,239,6.8181818181818175
S17,87,87,64,79.33333333333333,238,-26.436781609195403
S18,52,77,84,71.0,213,61.53846153846154
S19,62,64,92,72.66666666666667,218,48.38709677419355
S20,46,79,66,63.666666666666664,191,43.47826086956522
S21,57,51,62,56.666666666666664,170,8.771929824561402
S22,75,85,74,78.0,234,-1.3333333333333335
S23,77,74,78,76.33333333333333,229,1.2987012987012987
S24,76,90,57,74.33333333333333,223,-25.0
S25,90,50,74,71.33333333333333,214,-17.77777777777778
S26,77,48,76,67.0,201,-1.2987012987012987
S27,68,90,64,74.0,222,-5.88235294117647
S28,66,63,71,66.66666666666667,200,7.575757575757576
S29,60,74,92,75.33333333333333,226,53.333333333333336
S30,88,48,91,75.66666666666667,227,3.4090909090909087
S31,87,60,58,68.33333333333333,205,-33.33333333333333
S32,62,75,97,78.0,234,56.451612903225815
S33,85,48,74,69.0,207,-12.941176470588237
S34,48,92,57,65.66666666666667,197,18.75
S35,51,52,78,60.333333333333336,181,52.94117647058824
S36,88,88,75,83.66666666666667,251,-14.772727272727273
S37,80,76,93,83.0,249,16.25
S38,87,84,82,84.33333333333333,253,-5.747126436781609
S39,86,58,70,71.33333333333333,214,-18.6046511627907
S40,64,93,93,83.33333333333333,250,45.3125
S41,52,50,94,65.33333333333333,196,80.76923076923077
S42,68,67,82,72.33333333333333,217,20.588235294117645
S43,84,51,73,69.33333333333333,208,-13.095238095238097
S44,69,89,85,81.0,243,23.18840579710145
S45,83,64,89,78.66666666666667,236,7.228915662650602
S46,64,65,50,59.666666666666664,179,-21.875
S47,48,77,92,72.33333333333333,217,91.66666666666666
S48,69,58,61,62.666666666666664,188,-11.594202898550725
S49,84,61,84,76.33333333333333,229,0.0
S50,86,50,92,76.0,228,6.976744186046512
S51,74,89,55,72.66666666666667,218,-25.675675675675674
S52,72,85,89,82.0,246,23.61111111111111
S53,88,49,67,68.0,204,-23.863636363636363
S54,48,54,69,57.0,171,43.75
S55,77,58,53,62.666666666666664,188,-31.16883116883117
S56,80,74,92,82.0,246,15.0
S57,66,72,91,76.33333333333333,229,37.878787878787875
S58,94,87,89,90.0,270,-5.319148936170213
S59,65,61,60,62.0,186,-7.6923076923076925
S60,65,57,95,72.33333333333333,217,46.15384615384615
S61,58,96,61,71.66666666666667,215,5.172413793103448
S62,55,56,80,63.666666666666664,191,45.45454545454545
S63,59,88,77,74.66666666666667,224,30.508474576271187
S64,53,76,83,70.66666666666667,212,56.60377358490566
S65,72,52,91,71.66666666666667,215,26.38888888888889
S66,85,79,82,82.0,246,-3.5294117647058822
S67,60,49,77,62.0,186,28.333333333333332
S68,95,72,77,81.33333333333333,244,-18.947368421052634
S69,62,62,75,66.33333333333333,199,20.967741935483872
S70,77,72,89,79.33333333333333,238,15.584415584415584
S71,48,83,74,68.33333333333333,205,54.166666666666664
S72,73,79,55,69.0,207,-24.65753424657534
S73,85,69,52,68.66666666666667,206,-38.82352941176471
S74,72,90,85,82.33333333333333,247,18.055555555555554
S75,58,68,70,65.33333333333333,196,20.689655172413794
S76,87,69,98,84.66666666666667,254,12.643678160919542
S77,91,97,84,90.66666666666667,272,-7.6923076923076925
S78,53,91,61,68.33333333333333,205,15.09433962264151
S79,79,63,85,75.66666666666667,227,7.59493670886076
S80,89,70,84,81.0,243,-5.617977528089887
S81,60,88,95,81.0,243,58.333333333333336
S82,45,76,85,68.66666666666667,206,88.88888888888889
S83,52,82,68,67.33333333333333,202,30.76923076923077
S84,67,49,83,66.33333333333333,199,23.88059701492537
S85,75,73,68,72.0,216,-9.333333333333334
S86,88,86,94,89.33333333333333,268,6.8181818181818175
S87,68,75,98,80.33333333333333,241,44.11764705882353
S88,53,65,61,59.666666666666664,179,15.09433962264151
S89,54,82,80,72.0,216,48.148148148148145
S90,75,59,51,61.666666666666664,185,-32.0
S91,70,75,74,73.0,219,5.714285714285714
S92,93,50,61,68.0,204,-34.40860215053764
S93,77,72,52,67.0,201,-32.467532467532465
S94,94,88,52,78.0,234,-44.680851063829785
S95,81,51,72,68.0,204,-11.11111111111111
S96,53,83,76,70.66666666666667,212,43.39622641509434
S97,52,86,52,63.333333333333336,190,0.0
S98,77,91,58,75.33333333333333,226,-24.675324675324674
S99,95,48,67,70.0,210,-29.47368421052631
S100,95,77,70,80.66666666666667,242,-26.31578947368421
S101,82,88,62,77.33333333333333,232,-24.390243902439025
S102,65,77,57,66.33333333333333,199,-12.307692307692308
S103,68,81,75,74.66666666666667,224,10.294117647058822
S104,62,50,99,70.33333333333333,211,59.67741935483871
S105,53,87,63,67.66666666666667,203,18.867924528301888
S106,89,49,61,66.33333333333333,199,-31.46067415730337
S107,89,74,80,81.0,243,-10.112359550561797
S108,74,83,91,82.66666666666667,248,22.972972972972975
S109,87,60,98,81.66666666666667,245,12.643678160919542
S110,83,53,91,75.66666666666667,227,9.63855421686747
S111,56,52,64,57.333333333333336,172,14.285714285714285
S112,60,95,91,82.0,246,51.66666666666667
S113,60,78,65,67.66666666666667,203,8.333333333333332
S114,57,96,62,71.66666666666667,215,8.771929824561402
S115,47,59,50,52.0,156,6.382978723404255
S116,76,54,81,70.33333333333333,211,6.578947368421052
S117,95,58,98,83.66666666666667,251,3.1578947368421053
S118,70,50,65,61.666666666666664,185,-7.142857142857142
S119,95,54,85,78.0,234,-10.526315789473683
S120,85,61,71,72.33333333333333,217,-16.470588235294116
S121,66,89,69,74.66666666666667,224,4.545454545454546
S122,57,76,99,77.33333333333333,232,73.68421052631578
S123,94,52,95,80.33333333333333,241,1.0638297872340425
S124,85,54,86,75.0,225,1.1764705882352942
S125,56,77,89,74.0,222,58.92857142857143
S126,70,63,56,63.0,189,-20.0
S127,58,92,86,78.66666666666667,236,48.275862068965516
S128,91,69,64,74.66666666666667,224,-29.67032967032967
S129,47,96,53,65.33333333333333,196,12.76595744680851
S130,75,76,60,70.33333333333333,211,-20.0
S131,72,95,89,85.33333333333333,256,23.61111111111111
S132,57,82,97,78.66666666666667,236,70.17543859649122
S133,67,71,68,68.66666666666667,206,1.4925373134328357
S134,87,61,93,80.33333333333333,241,6.896551724137931
S135,93,80,55,76.0,228,-40.86021505376344
S136,54,91,87,77.33333333333333,232,61.111111111111114
S137,72,78,92,80.66666666666667,242,27.77777777777778
S138,77,81,75,77.66666666666667,233,-2.5974025974025974
S139,82,68,67,72.33333333333333,217,-18.29268292682927
S140,67,83,89,79.66666666666667,239,32.83582089552239
S141,95,85,85,88.33333333333333,265,-10.526315789473683
S142,91,58,98,82.33333333333333,247,7.6923076923076925
S143,94,53,99,82.0,246,5.319148936170213
S144,84,80,71,78.33333333333333,235,-15.476190476190476
S145,90,50,72,70.66666666666667,212,-20.0
S146,66,80,59,68.33333333333333,205,-10.606060606060606
S147,64,76,83,74.33333333333333,223,29.6875
S148,54,87,85,75.33333333333333,226,57.407407407407405
S149,79,63,59,67.0,201,-25.31645569620253
S150,66,92,95,84.33333333333333,253,43.93939393939394
S151,93,77,72,80.66666666666667,242,-22.58064516129032
S152,87,51,70,69.33333333333333,208,-19.54022988505747
S153,78,85,89,84.0,252,14.102564102564102
S154,75,88,55,72.66666666666667,218,-26.666666666666668
S155,68,90,52,70.0,210,-23.52941176470588
S156,91,54,94,79.66666666666667,239,3.296703296703297
S157,53,61,62,58.666666666666664,176,16.9811320754717
S158,92,72,89,84.33333333333333,253,-3.260869565217391
S159,92,66,64,74.0,222,-30.434782608695656
S160,69,71,56,65.33333333333333,196,-18.84057971014493
S161,90,50,86,75.33333333333333,226,-4.444444444444445
S162,63,86,52,67.0,201,-17.46031746031746
S163,63,55,65,61.0,183,3.1746031746031744
S164,86,77,59,74.0,222,-31.3953488372093
S165,76,76,60,70.66666666666667,212,-21.052631578947366
S166,47,92,93,77.33333333333333,232,97.87234042553192
S167,89,91,96,92.0,276,7.865168539325842
S168,67,93,87,82.33333333333333,247,29.850746268656714
S169,92,58,65,71.66666666666667,215,-29.347826086956523
S170,52,82,58,64.0,192,11.538461538461538
S171,57,90,61,69.33333333333333,208,7.017543859649122
S172,59,96,55,70.0,210,-6.779661016949152
S173,58,55,50,54.333333333333336,163,-13.793103448275861
S174,47,67,85,66.33333333333333,199,80.85106382978722
S175,92,78,96,88.66666666666667,266,4.3478260869565215
S176,82,93,58,77.66666666666667,233,-29.268292682926827
S177,93,82,75,83.33333333333333,250,-19.35483870967742
S178,82,88,84,84.66666666666667,254,2.4390243902439024
S179,80,48,77,68.33333333333333,205,-3.75
S180,95,71,77,81.0,243,-18.947368421052634
S181,83,70,52,68.33333333333333,205,-37.34939759036144
S182,61,79,72,70.66666666666667,212,18.0327868852459
S183,54,64,71,63.0,189,31.48148148148148
S184,82,56,73,70.33333333333333,211,-10.975609756097562
S185,45,51,58,51.333333333333336,154,28.888888888888886
S186,57,71,76,68.0,204,33.33333333333333
S187,64,51,93,69.33333333333333,208,45.3125
S188,76,83,72,77.0,231,-5.263157894736842
S189,91,74,74,79.66666666666667,239,-18.681318681318682
S190,70,78,79,75.66666666666667,227,12.857142857142856
