Student_ID,Sem1,Sem2,Sem3
S1,66,97,55
S2,53,70,63
S3,92,49,75
S4,56,72,84
S5,57,58,98
S6,83,55,78
S7,87,51,95
S8,45,93,95
S9,52,59,55
S10,89,93,67
S11,54,80,66
S12,52,54,96
S13,83,82,97
S14,48,87,92
S15,47,97,60
S16,88,57,94
S17,87,87,64
S18,52,77,84
S19,62,64,92
S20,46,79,66
S21,57,51,62
S22,75,85,74
S23,77,74,78
S24,76,90,57
S25,90,50,74
S26,77,48,76
S27,68,90,64
S28,66,63,71
S29,60,74,92
S30,88,48,91
S31,87,60,58
S32,62,75,97
S33,85,48,74
S34,48,92,57
S35,51,52,78
S36,88,88,75
S37,80,76,93
S38,87,84,82
S39,86,58,70
S40,64,93,93
S41,52,50,94
S42,68,67,82
S43,84,51,73
S44,69,89,85
S45,83,64,89
S46,64,65,50
S47,48,77,92
S48,69,58,61
S49,84,61,84
S50,86,50,92
S51,74,89,55
S52,72,85,89
S53,88,49,67
S54,48,54,69
S55,77,58,53
S56,80,74,92
S57,66,72,91
S58,94,87,89
S59,65,61,60
S60,65,57,95
S61,58,96,61
S62,55,56,80
S63,59,88,77
S64,53,76,83
S65,72,52,91
S66,85,79,82
S67,60,49,77
S68,95,72,77
S69,62,62,75
S70,77,72,89
S71,48,83,74
S72,73,79,55
S73,85,69,52
S74,72,90,85
S75,58,68,70
S76,87,69,98
S77,91,97,84
S78,53,91,61
S79,79,63,85
S80,89,70,84
S81,60,88,95
S82,45,76,85
S83,52,82,68
S84,67,49,83
S85,75,73,68
S86,88,86,94
S87,68,75,98
S88,53,65,61
S89,54,82,80
S90,75,59,51
S91,70,75,74
S92,93,50,61
S93,77,72,52
S94,94,88,52
S95,81,51,72
S96,53,83,76
S97,52,86,52
S98,77,91,58
S99,95,48,67
S100,95,77,70
S101,82,88,62
S102,65,77,57
S103,68,81,75
S104,62,50,99
S105,53,87,63
S106,89,49,61
S107,89,74,80
S108,74,83,91
S109,87,60,98
S110,83,53,91
S111,56,52,64
S112,60,95,91
S113,60,78,65
S114,57,96,62
S115,47,59,50
S116,76,54,81
S117,95,58,98
S118,70,50,65
S119,95,54,85
S120,85,61,71
S121,66,89,69
S122,57,76,99
S123,94,52,95
S124,85,54,86
S125,56,77,89
S126,70,63,56
S127,58,92,86
S128,91,69,64
S129,47,96,53
S130,75,76,60
S131,72,95,89
S132,57,82,97
S133,67,71,68
S134,87,61,93
S135,93,80,55
S136,54,91,87
S137,72,78,92
S138,77,81,75
S139,82,68,67
S140,67,83,89
S141,95,85,85
S142,91,58,98
S143,94,53,99
S144,84,80,71
S145,90,50,72
S146,66,80,59
S147,64,76,83
S148,54,87,85
S149,79,63,59
S150,66,92,95
S151,93,77,72
S152,87,51,70
S153,78,85,89
S154,75,88,55
S155,68,90,52
S156,91,54,94
S157,53,61,62
S158,92,72,89
S159,92,66,64
S160,69,71,56
S161,90,50,86
S162,63,86,52
S163,63,55,65
S164,86,77,59
S165,76,76,60
S166,47,92,93
S167,89,91,96
S168,67,93,87
S169,92,58,65
S170,52,82,58
S171,57,90,61
S172,59,96,55
S173,58,55,50
S174,47,67,85
S175,92,78,96
S176,82,93,58
S177,93,82,75
S178,82,88,84
S179,80,48,77
S180,95,71,77
S181,83,70,52
S182,61,79,72
S183,54,64,71
S184,82,56,73
S185,45,51,58
S186,57,71,76
S187,64,51,93
S188,76,83,72
S189,91,74,74
S190,70,78,79
S191,94,83,60
S192,76,86,83
S193,75,77,59
S194,84,72,87
S195,87,68,95
S196,88,48,93
S197,60,71,72
S198,82,95,99
S199,76,55,81
S200,63,95,89
S201,83,63,96
S202,45,97,61
S203,61,74,50
S204,61,56,89
S205,86,54,67
S206,85,88,57
S207,55,65,89
S208,48,85,51
S209,53,78,75
S210,68,73,66
S211,63,78,68
S212,95,49,70
S213,67,65,91
S214,54,77,69
S215,89,72,59
S216,84,76,93
S217,76,80,59
S218,61,48,69
S219,90,81,91
S220,73,96,75
S221,60,93,56
S222,93,64,52
S223,81,73,63
S224,94,90,78
S225,65,65,63
S226,61,71,89
S227,53,62,83
S228,65,62,51
S229,69,66,74
S230,83,84,65
S231,59,56,53
S232,89,94,90
S233,91,93,95
S234,71,59,62
S235,94,77,70
S236,79,80,88
S237,65,51,64
S238,86,67,83
S239,70,50,50
S240,59,62,85
S241,48,80,96
S242,83,95,74
S243,61,97,92
S244,80,89,70
S245,88,54,89
S246,88,71,69
S247,83,86,64
S248,74,53,72
S249,80,57,89
S250,57,64,91
S251,73,65,68
S252,49,88,99
S253,82,88,74
S254,72,82,74
S255,81,94,89
S256,53,72,64
S257,67,81,72
S258,66,67,63
S259,47,49,71
S260,54,82,51
S261,91,78,61
S262,66,58,79
S263,84,73,99
S264,89,73,75
S265,53,81,99
S266,80,58,74
S267,50,58,73
S268,83,97,70
S269,48,97,87
S270,79,59,82
S271,89,71,75
S272,86,49,60
S273,82,56,55
S274,62,68,87
S275,55,87,85
S276,56,71,79
S277,70,95,94
S278,75,74,87
S279,49,52,73
S280,83,74,65
S281,55,88,82
S282,52,64,83
S283,60,85,62
S284,87,95,73
S285,69,54,77
S286,67,76,64
S287,92,79,95
S288,93,48,60
S289,72,77,86
S290,78,64,96
S291,56,77,56
S292,88,74,97
S293,78,70,64
S294,45,49,56
S295,51,53,73
S296,75,75,93
S297,63,49,75
S298,63,54,92
S299,63,86,54
S300,88,82,59
S301,65,95,75
S302,75,62,70
S303,89,72,84
S304,58,84,97
S305,50,64,61
S306,91,63,70
S307,48,96,82
S308,51,78,83
S309,80,91,67
S310,91,54,94
S311,65,94,65
S312,48,96,93
S313,78,85,73
S314,62,75,75
S315,64,83,86
S316,62,66,75
S317,46,68,66
S318,87,51,62
S319,76,50,68
S320,58,63,62
S321,83,50,52
S322,57,59,85
S323,85,85,73
S324,57,58,59
S325,73,68,80
S326,66,80,88
S327,74,48,94
S328,87,64,84
S329,45,73,50
S330,81,57,51
S331,86,84,81
S332,76,62,95
S333,73,73,98
S334,47,88,95
S335,92,62,76
S336,83,76,87
S337,69,95,91
S338,58,52,88
S339,59,77,64
S340,81,53,72
S341,76,90,57
S342,65,48,69
S343,76,95,63
S344,49,81,59
S345,49,65,88
S346,80,49,53
S347,68,97,68
S348,81,86,53
S349,64,74,93
S350,51,89,93
S351,90,64,78
S352,60,97,51
S353,45,67,96
S354,77,60,78
S355,83,53,66
S356,73,96,56
S357,53,85,78
S358,71,88,67
S359,87,72,65
S360,62,63,78
S361,47,58,94
S362,82,71,75
S363,51,79,69
S364,80,81,67
S365,83,80,86
S366,59,76,73
S367,56,48,59
S368,54,55,63
S369,89,66,86
S370,45,52,87
S371,85,70,54
S372,52,76,51
S373,48,64,71
S374,51,57,79
S375,65,68,80
S376,69,62,86
S377,60,88,85
S378,79,57,84
S379,54,63,82
S380,90,92,57
S381,83,83,99
S382,58,86,77
S383,59,82,75
S384,66,73,71
S385,48,56,69
S386,64,53,61
S387,62,56,60
S388,84,73,73
S389,56,64,75
S390,71,63,97
S391,82,57,92
S392,90,83,88
S393,83,54,94
S394,88,67,88
S395,92,72,99
S396,91,69,69
S397,67,66,72
S398,83,86,82
S399,79,82,62
S400,53,83,96
S401,92,75,50
S402,53,96,74
S403,93,95,60
S404,46,56,59
S405,65,65,63
S406,86,82,76
S407,95,60,61
S408,64,82,63
S409,54,71,68
S410,74,79,85
S411,85,62,69
S412,90,86,57
S413,79,77,80
S414,91,48,90
S415,86,59,64
S416,65,56,52
S417,58,54,72
S418,66,85,96
S419,68,50,58
S420,80,49,87
S421,70,91,52
S422,53,58,98
S423,82,81,51
S424,82,77,75
S425,86,72,98
S426,58,96,57
S427,59,97,60
S428,73,57,84
S429,57,70,55
S430,69,85,88
S431,46,90,54
S432,57,76,58
S433,56,88,60
S434,50,74,80
S435,49,57,97
S436,53,82,82
S437,69,66,59
S438,77,89,73
S439,79,80,81
S440,60,48,52
S441,73,66,84
S442,51,57,53
S443,90,76,68
S444,53,63,81
S445,94,70,84
S446,57,58,75
S447,95,50,87
S448,64,72,90
S449,65,86,54
S450,55,94,84
S451,46,74,84
S452,57,66,89
S453,92,63,91
S454,52,76,71
S455,91,74,92
S456,69,95,70
S457,93,60,51
S458,60,64,66
S459,46,56,89
S460,87,70,70
S461,84,77,68
S462,66,97,81
S463,86,94,61
S464,68,84,96
S465,62,70,95
S466,90,84,90
S467,74,84,66
S468,52,61,67
S469,72,85,62
S470,54,62,59
S471,47,57,91
S472,73,83,75
S473,53,58,97
S474,91,56,83
S475,91,72,59
S476,89,72,59
S477,50,59,61
S478,63,92,88
S479,84,92,51
S480,89,61,88
S481,68,92,99
S482,66,76,92
S483,74,85,89
S484,58,78,77
S485,76,63,68
S486,51,60,79
S487,77,76,52
S488,93,67,55
S489,60,95,91
S490,45,76,78
S491,54,81,63
S492,48,97,70
S493,50,58,76
S494,76,61,57
S495,52,87,86
S496,94,62,63
S497,90,66,81
S498,46,91,56
S499,70,77,74
S500,86,62,85
S501,46,65,73
S502,85,63,87
S503,79,68,87
S504,76,67,57
S505,92,59,90
S506,67,69,68
S507,92,54,94
S508,57,89,93
S509,49,75,91
S510,83,84,62
S511,81,96,57
S512,92,90,90
S513,66,58,68
S514,46,50,91
S515,94,87,80
S516,56,51,99
S517,78,97,79
S518,86,67,67
S519,76,64,89
S520,46,74,92
S521,78,90,81
S522,76,77,78
S523,53,78,84
S524,71,83,80
S525,82,56,65
S526,50,53,64
S527,73,60,62
S528,71,68,77
S529,77,96,62
S530,53,80,88
S531,86,83,53
S532,94,71,51
S533,56,75,67
S534,53,72,66
S535,46,74,70
S536,54,75,73
S537,52,65,70
S538,86,95,74
S539,52,67,72
S540,88,62,92
S541,66,78,75
S542,49,78,72
S543,92,86,61
S544,63,93,84
S545,60,86,94
S546,64,58,80
S547,77,95,58
S548,78,59,58
S549,49,65,64
S550,87,76,75
S551,80,81,96
S552,50,91,53
S553,63,80,55
S554,69,60,77
S555,58,95,93
S556,74,66,58
S557,67,73,99
S558,46,74,56
S559,58,70,78
S560,95,61,64
S561,95,55,90
S562,57,86,91
S563,71,76,91
S564,89,66,84
S565,83,74,73
S566,56,55,82
S567,86,87,98
S568,53,57,91
S569,70,66,81
S570,57,69,65
S571,88,93,59
S572,95,72,78
S573,64,96,89
S574,55,70,55
S575,55,80,99
S576,56,54,54
S577,51,96,61
S578,75,83,71
S579,92,93,86
S580,95,95,63
S581,69,58,53
S582,71,49,89
S583,51,93,94
S584,57,90,53
S585,95,92,71
S586,90,51,76
S587,55,93,91
S588,49,51,63
S589,61,50,59
S590,85,51,51
S591,72,60,56
S592,80,84,77
S593,47,65,56
S594,67,95,85
S595,89,65,82
S596,71,69,98
S597,59,67,61
S598,74,84,94
S599,73,67,53
S600,66,54,76
S601,90,66,84
S602,56,71,68
S603,75,56,66
S604,61,74,64
S605,45,54,90
S606,82,87,64
S607,66,70,60
S608,94,87,57
S609,84,85,76
S610,46,73,86
S611,47,84,66
S612,61,68,51
S613,81,74,63
S614,74,57,51
S615,45,70,83
S616,52,91,65
S617,85,59,77
S618,79,49,94
S619,89,77,94
S620,80,62,65
S621,60,74,96
S622,76,56,73
S623,85,82,78
S624,87,70,62
S625,56,78,97
S626,62,72,54
S627,95,85,73
S628,77,60,57
S629,86,80,53
S630,50,78,95
S631,93,60,62
S632,78,82,97
S633,67,53,87
S634,74,74,88
S635,46,77,96
S636,94,89,50
S637,51,87,59
S638,92,77,61
S639,52,64,86
S640,88,93,72
S641,47,69,80
S642,46,59,57
S643,68,82,68
S644,74,72,50
S645,62,53,96
S646,82,70,82
S647,62,68,93
S648,76,78,66
S649,95,56,95
S650,90,58,76
S651,84,71,93
S652,58,88,65
S653,89,87,83
S654,84,95,91
S655,58,92,89
S656,69,94,81
S657,48,76,93
S658,82,76,75
S659,93,65,50
S660,69,54,95
S661,89,67,62
S662,75,81,84
S663,84,65,94
S664,56,62,99
S665,81,81,71
S666,74,89,77
S667,84,96,97
S668,58,54,57
S669,83,81,91
S670,94,66,50
S671,94,94,58
S672,71,49,88
S673,76,75,69
S674,69,78,97
S675,49,79,61
S676,78,79,98
S677,66,50,82
S678,49,76,63
S679,79,71,93
S680,68,66,98
S681,47,64,96
S682,74,54,80
S683,67,59,94
S684,79,57,99
S685,92,62,50
S686,76,58,51
S687,64,63,67
S688,82,68,67
S689,49,93,54
S690,60,65,58
S691,90,56,68
S692,67,51,58
S693,64,67,68
S694,74,52,75
S695,95,72,81
S696,84,78,87
S697,88,86,67
S698,92,76,63
S699,69,79,86
S700,61,80,69
S701,84,65,82
S702,45,81,58
S703,72,95,80
S704,52,94,64
S705,71,57,51
S706,65,50,75
S707,52,59,93
S708,53,86,57
S709,79,50,92
S710,46,57,95
S711,63,53,65
S712,69,76,77
S713,74,64,62
S714,87,65,70
S715,61,79,86
S716,92,70,71
S717,79,54,65
S718,58,85,70
S719,95,51,85
S720,70,63,89
S721,89,78,69
S722,47,57,55
S723,65,62,88
S724,63,64,96
S725,50,85,96
S726,75,95,55
S727,49,93,58
S728,86,75,98
S729,84,58,75
S730,71,61,59
S731,63,64,98
S732,50,77,60
S733,86,56,83
S734,78,56,86
S735,80,64,80
S736,69,96,67
S737,88,55,91
S738,64,49,66
S739,87,57,84
S740,54,68,53
S741,47,49,78
S742,51,50,85
S743,63,88,58
S744,49,81,57
S745,80,64,67
S746,91,86,79
S747,56,95,57
S748,65,51,98
S749,75,51,65
S750,54,95,77
S751,65,65,86
S752,84,73,65
S753,61,55,63
S754,59,72,67
S755,53,69,71
S756,71,67,92
S757,87,95,81
S758,90,62,77
S759,52,74,71
S760,49,68,81
S761,63,69,94
S762,95,75,55
S763,86,52,73
S764,85,52,76
S765,66,62,95
S766,85,58,75
S767,54,67,76
S768,66,79,92
S769,94,60,66
S770,81,90,99
S771,87,84,91
S772,71,80,80
S773,71,51,96
S774,55,82,80
S775,73,72,59
S776,57,83,95
S777,85,75,88
S778,74,57,73
S779,58,62,79
S780,85,71,96
S781,90,52,70
S782,69,93,83
S783,71,73,62
S784,83,95,72
S785,59,66,57
S786,51,92,88
S787,60,94,81
S788,54,80,96
S789,63,82,80
S790,60,66,86
S791,85,50,87
S792,75,61,83
S793,82,70,86
S794,80,84,51
S795,68,88,67
S796,56,72,96
S797,47,95,76
S798,93,62,98
S799,84,78,96
S800,61,73,55
S801,89,61,75
S802,50,72,71
S803,65,93,80
S804,51,95,58
S805,54,77,86
S806,92,74,58
S807,63,78,88
S808,56,58,95
S809,91,63,99
S810,47,59,87
S811,76,97,81
S812,92,49,88
S813,71,79,64
S814,76,64,65
S815,57,82,55
S816,79,72,97
S817,91,77,65
S818,91,85,51
S819,71,55,50
S820,57,84,61
S821,70,69,57
S822,77,74,81
S823,47,92,77
S824,69,69,51
S825,66,52,86
S826,48,96,81
S827,51,74,93
S828,46,73,82
S829,69,69,62
S830,63,68,70
S831,50,76,66
S832,63,78,58
S833,86,56,70
S834,63,49,60
S835,52,84,64
S836,58,70,99
S837,47,49,65
S838,81,86,69
S839,79,53,89
S840,77,86,58
S841,85,77,92
S842,83,78,65
S843,88,65,94
S844,80,58,91
S845,94,57,52
S846,55,64,50
S847,51,95,91
S848,92,83,53
S849,68,80,91
S850,83,65,99
S851,82,67,92
S852,91,50,63
S853,62,62,50
S854,66,82,93
S855,58,76,90
S856,76,85,51
S857,86,57,70
S858,74,52,84
S859,80,85,61
S860,73,80,60
S861,93,78,67
S862,80,56,93
S863,87,80,73
S864,57,72,81
S865,49,84,92
S866,46,58,69
S867,80,61,74
S868,90,94,82
S869,54,78,84
S870,66,63,96
S871,84,53,66
S872,45,73,74
S873,59,96,96
S874,56,86,62
S875,75,83,54
S876,80,64,85
S877,93,78,76
S878,83,69,90
S879,94,84,81
S880,78,84,67
S881,49,48,99
S882,59,71,98
S883,86,64,58
S884,58,54,98
S885,52,51,88
S886,52,85,87
S887,62,66,82
S888,52,71,89
S889,55,78,56
S890,76,51,52
S891,56,70,55
S892,67,75,62
S893,93,84,73
S894,66,67,59
S895,82,61,94
S896,51,85,70
S897,80,88,98
S898,88,71,66
S899,62,84,75
S900,67,55,87
S901,82,52,50
S902,68,60,75
S903,54,81,80
S904,78,54,54
S905,63,76,97
S906,90,70,72
S907,95,92,70
S908,77,65,60
S909,64,84,97
S910,74,87,58
S911,58,94,76
S912,46,67,52
S913,80,78,64
S914,83,57,87
S915,61,86,58
S916,52,84,76
S917,56,85,91
S918,46,68,63
S919,95,53,64
S920,68,79,85
S921,95,84,96
S922,92,92,77
S923,68,65,58
S924,79,54,74
S925,73,64,70
S926,94,67,99
S927,48,73,98
S928,67,87,72
S929,46,75,92
S930,46,70,68
S931,94,82,61
S932,79,66,91
S933,88,79,73
S934,70,64,73
S935,94,59,96
S936,87,74,89
S937,55,55,74
S938,57,60,68
S939,59,77,96
S940,52,56,64
S941,77,87,52
S942,49,49,71
S943,94,91,77
S944,67,73,68
S945,62,55,99
S946,85,85,75
S947,50,64,56
S948,51,89,83
S949,84,72,75
S950,69,85,87
S951,87,73,87
S952,55,66,76
S953,58,72,93
S954,69,90,89
S955,94,85,91
S956,63,75,99
S957,67,85,63
S958,79,65,79
S959,94,77,76
S960,88,68,77
S961,82,51,74
S962,47,55,99
S963,49,85,78
S964,59,72,94
S965,77,56,90
S966,78,48,69
S967,94,72,57
S968,85,48,61
S969,95,68,59
S970,92,70,72
S971,87,91,51
S972,54,63,74
S973,84,95,89
S974,93,65,92
S975,71,50,92
S976,81,97,61
S977,86,51,60
S978,50,68,70
S979,66,86,55
S980,82,58,95
S981,55,59,65
S982,70,94,84
S983,78,81,79
S984,92,97,76
S985,51,56,66
S986,65,96,56
S987,50,91,57
S988,53,93,71
S989,50,79,68
S990,78,87,65
S991,52,50,91
S992,62,55,76
S993,48,55,84
S994,66,95,61
S995,71,52,55
S996,79,87,93
S997,68,76,79
S998,92,93,94
S999,80,73,66
S1000,58,63,99
S1001,78,67,93
S1002,79,72,87
S1003,53,61,95
S1004,73,70,99
S1005,65,95,70
S1006,58,52,79
S1007,79,91,79
S1008,78,92,92
S1009,72,74,66
S1010,48,91,64
S1011,78,67,92
S1012,61,67,93
S1013,46,90,61
S1014,53,91,67
S1015,85,84,75
S1016,92,88,53
S1017,81,75,77
S1018,80,52,74
S1019,55,53,70
S1020,59,64,50
S1021,51,74,89
S1022,82,70,70
S1023,47,80,74
S1024,83,48,85
S1025,92,78,66
S1026,80,85,97
S1027,52,67,94
S1028,56,73,60
S1029,91,60,53
S1030,74,95,82
S1031,55,74,94
S1032,53,69,91
S1033,59,68,71
S1034,76,97,71
S1035,88,52,93
S1036,63,48,53
S1037,64,85,89
S1038,65,83,78
S1039,64,76,78
S1040,49,85,87
S1041,92,91,83
S1042,93,72,81
S1043,80,69,56
S1044,78,56,62
S1045,74,54,77
S1046,76,64,51
S1047,90,68,84
S1048,93,53,96
S1049,56,76,80
S1050,59,68,78
S1051,62,61,83
S1052,95,59,92
S1053,94,95,53
S1054,89,92,82
S1055,45,76,75
S1056,90,80,78
S1057,64,67,74
S1058,72,81,98
S1059,63,68,94
S1060,52,63,89
S1061,46,88,78
S1062,90,67,72
S1063,67,95,71
S1064,62,58,74
S1065,77,76,58
S1066,81,92,50
S1067,83,51,79
S1068,55,95,87
S1069,45,59,69
S1070,82,49,87
S1071,82,90,50
S1072,66,72,69
S1073,90,77,90
S1074,65,81,73
S1075,67,59,95
S1076,88,70,58
S1077,61,71,62
S1078,89,62,50
S1079,55,85,93
S1080,80,57,79
S1081,58,91,84
S1082,63,73,82
S1083,86,50,58
S1084,68,61,66
S1085,75,63,85
S1086,68,61,58
S1087,73,52,80
S1088,84,79,86
S1089,48,48,63
S1090,59,95,70
S1091,50,74,52
S1092,87,58,79
S1093,82,67,52
S1094,80,97,91
S1095,57,69,64
S1096,54,67,67
S1097,61,76,69
S1098,89,54,70
S1099,89,97,61
S1100,63,61,96
S1101,93,61,63
S1102,66,73,88
S1103,69,93,55
S1104,55,90,59
S1105,68,79,52
S1106,75,74,86
S1107,58,64,54
S1108,90,85,63
S1109,69,82,95
S1110,91,75,51
S1111,59,76,73
S1112,69,82,75
S1113,92,92,79
S1114,55,58,81
S1115,90,97,60
S1116,72,53,73
S1117,82,94,85
S1118,55,87,81
S1119,53,74,61
S1120,76,85,60
S1121,95,90,68
S1122,57,88,94
S1123,89,68,85
S1124,49,56,65
S1125,47,87,57
S1126,46,91,82
S1127,48,96,84
S1128,62,50,53
S1129,51,76,70
S1130,60,69,79
S1131,72,83,97
S1132,46,75,68
S1133,74,70,93
S1134,88,65,75
S1135,69,96,94
S1136,62,61,65
S1137,80,77,73
S1138,78,96,58
S1139,78,92,50
S1140,84,63,89
S1141,67,84,99
S1142,80,73,65
S1143,58,63,50
S1144,59,74,63
S1145,82,56,58
S1146,60,80,55
S1147,62,61,76
S1148,91,81,71
S1149,67,72,69
S1150,67,76,76
S1151,49,72,81
S1152,82,75,63
S1153,53,63,63
S1154,71,85,71
S1155,59,87,68
S1156,59,66,74
S1157,54,55,56
S1158,67,80,50
S1159,92,85,71
S1160,71,89,95
S1161,78,90,93
S1162,68,84,67
S1163,47,50,81
S1164,86,62,79
S1165,84,71,68
S1166,82,93,57
S1167,93,81,85
S1168,45,91,89
S1169,95,85,91
S1170,75,56,79
S1171,56,94,86
S1172,46,58,53
S1173,67,53,52
S1174,78,76,82
S1175,62,53,91
S1176,86,85,95
S1177,94,80,52
S1178,92,73,94
S1179,67,88,87
S1180,86,48,50
S1181,87,69,92
S1182,49,51,84
S1183,74,87,60
S1184,71,85,60
S1185,56,49,65
S1186,84,70,55
S1187,73,97,82
S1188,71,63,59
S1189,61,69,81
S1190,71,49,91
S1191,58,64,69
S1192,48,86,56
S1193,92,50,84
S1194,56,68,58
S1195,70,80,80
S1196,91,76,89
S1197,58,49,70
S1198,89,50,75
S1199,72,87,86
S1200,47,94,54
S1201,86,48,66
S1202,61,48,78
S1203,51,90,82
S1204,92,69,95
S1205,54,68,79
S1206,88,76,65
S1207,87,60,96
S1208,78,59,88
S1209,87,71,73
S1210,67,55,61
S1211,47,54,85
S1212,54,93,82
S1213,75,85,85
S1214,89,53,75
S1215,49,48,62
S1216,89,75,77
S1217,69,70,61
S1218,80,86,60
S1219,58,85,88
S1220,60,86,83
S1221,80,84,81
S1222,53,61,64
S1223,91,95,59
S1224,91,88,50
S1225,84,94,95
S1226,61,67,99
S1227,51,49,60
S1228,80,75,79
S1229,87,87,65
S1230,58,54,58
S1231,57,72,77
S1232,68,51,97
S1233,63,90,66
S1234,80,85,77
S1235,48,96,70
S1236,52,71,57
S1237,60,55,67
S1238,73,62,68
S1239,58,81,64
S1240,62,85,89
S1241,83,76,97
S1242,51,70,94
S1243,57,72,68
S1244,60,79,50
S1245,54,53,66
S1246,75,80,85
S1247,77,49,93
S1248,62,95,52
S1249,74,61,80
S1250,77,88,98
S1251,80,55,63
S1252,79,84,62
S1253,85,51,89
S1254,81,73,56
S1255,61,85,63
S1256,78,48,51
S1257,77,89,77
S1258,92,81,87
S1259,73,94,82
S1260,91,50,76
S1261,81,88,96
S1262,80,52,98
S1263,76,69,87
S1264,63,84,57
S1265,74,56,89
S1266,79,77,61
S1267,47,75,76
S1268,75,69,81
S1269,75,66,64
S1270,54,53,68
S1271,76,61,77
S1272,72,72,78
S1273,57,54,57
S1274,75,79,78
S1275,58,62,81
S1276,55,58,74
S1277,67,91,86
S1278,92,50,62
S1279,68,83,78
S1280,52,50,99
S1281,90,88,51
S1282,65,61,92
S1283,92,92,58
S1284,72,69,56
S1285,51,50,78
